G	size 	beats
1	3.498	186
1	3.83	198
1	3.658	198
1	3.654	198
1	3.721	192
1	3.931	180
1	3.892	174
1	3.842	180
1	4.005	192
1	3.735	198
2	3.916	204
2	3.645	174
2	3.863	180
2	3.89	180
2	3.826	180
2	4.191	186
2	3.861	174
2	3.907	192
2	3.769	192
2	3.625	192
3	3.193	186
3	3.32	186
3	3.281	180
3	3.312	180
3	3.191	168
3	3.633	192
3	3.413	192
3	3.334	192
3	2.795	198
3	3.275	180
4	2.8	174
4	3.228	192
4	3.135	180
4	2.748	186
4	2.909	186
4	2.4	192
4	3.199	198
4	3.033	192
4	3.196	180
4	3.003	210
5	2.703	192
5	2.712	66
5	2.938	168
5	2.29	234
5	2.954	210
5	2.68	198
5	2.992	204
5	2.288	186
5	2.246	192
5	1.829	198
5	2.019	144
5	2.196	174
